date,followers,following,media,avg_likes,avg_comments
2025-04-13,21267,78,85,0.0,0.0
2025-04-12,21264,78,85,0.0,0.0
2025-04-11,21259,78,85,0.0,0.0
2025-04-10,21245,78,85,0.0,0.0
2025-04-09,21240,78,85,0.0,0.0
2025-04-08,21235,78,85,0.0,0.0
2025-04-07,21238,78,85,0.0,0.0
2025-04-06,21232,78,85,0.0,0.0
2025-04-05,21237,78,85,0.0,0.0
2025-04-04,21235,78,85,0.0,0.0
2025-04-03,21232,78,85,0.0,0.0
2025-04-02,21236,78,85,0.0,0.0
2025-04-01,21229,78,85,0.0,0.0
2025-03-31,21234,78,85,0.0,0.0
2025-03-30,21228,78,85,0.0,0.0
2025-03-29,21222,78,85,0.0,0.0
2025-03-28,21218,78,85,0.0,0.0
2025-03-27,21211,78,85,0.0,0.0
2025-03-26,21203,78,85,0.0,0.0
2025-03-25,21182,78,85,0.0,0.0
2025-03-24,21187,78,85,0.0,0.0
2025-03-23,21200,78,85,0.0,0.0
2025-03-22,21210,78,85,0.0,0.0
2025-03-21,21212,78,85,0.0,0.0
2025-03-17,21199,78,85,0.0,0.0
2025-03-15,21198,78,85,0.0,0.0
2025-03-14,21191,78,85,0.0,0.0
2025-03-13,21187,78,85,0.0,0.0
2025-03-12,21185,78,85,0.0,0.0
2025-03-11,21182,78,85,0.0,0.0
2025-03-10,21186,78,85,0.0,0.0
2025-03-09,21194,78,0,0.0,0.0
2025-03-08,21195,78,85,0.0,0.0
2025-03-07,21195,78,85,0.0,0.0
2025-03-06,21198,78,85,0.0,0.0
2025-03-05,21200,78,85,0.0,0.0
2025-03-04,21194,78,85,0.0,0.0
2025-03-03,21192,78,85,0.0,0.0
2025-03-02,21183,78,85,0.0,0.0
2025-03-01,21179,78,85,0.0,0.0
2025-02-28,21179,78,85,0.0,0.0
2025-02-27,21177,78,85,0.0,0.0
2025-02-26,21175,78,85,0.0,0.0
2025-02-25,21176,78,85,0.0,0.0
2025-02-24,21181,78,85,0.0,0.0
2025-02-23,21183,78,85,0.0,0.0
2025-02-22,21179,78,85,0.0,0.0
2025-02-21,21178,78,85,0.0,0.0
2025-02-20,21169,78,85,0.0,0.0
2025-02-19,21167,78,85,0.0,0.0
2025-02-18,21167,78,85,0.0,0.0
2025-02-17,21173,78,85,0.0,0.0
2025-02-16,21177,78,85,0.0,0.0
2025-02-15,21180,78,85,0.0,0.0
2025-02-14,21179,78,85,0.0,0.0
2025-02-13,21177,78,85,0.0,0.0
2025-02-12,21168,78,85,0.0,0.0
2025-02-11,21160,78,85,0.0,0.0
2025-02-10,21167,78,85,0.0,0.0
2025-02-09,21165,78,85,0.0,0.0
2025-02-08,21166,78,85,0.0,0.0
2025-02-07,21164,78,85,0.0,0.0
2025-02-06,21163,78,85,0.0,0.0
2025-02-05,21164,78,85,0.0,0.0
2025-02-04,21165,78,85,0.0,0.0
2025-02-03,21167,78,85,0.0,0.0
2025-02-02,21166,78,85,0.0,0.0
2025-02-01,21163,78,85,0.0,0.0
2025-01-31,21169,78,85,0.0,0.0
2025-01-30,21172,78,85,0.0,0.0
2025-01-29,21165,78,85,0.0,0.0
2025-01-28,21170,78,85,0.0,0.0
2025-01-27,21171,78,85,0.0,0.0
2025-01-26,21169,78,85,0.0,0.0
2025-01-25,21166,78,85,0.0,0.0
2025-01-24,21165,78,85,0.0,0.0
2025-01-23,21161,78,85,0.0,0.0
2025-01-22,21166,78,85,0.0,0.0
2025-01-21,21167,78,85,0.0,0.0
2025-01-20,21169,78,85,0.0,0.0
2025-01-19,21169,78,85,0.0,0.0
2025-01-18,21176,78,85,0.0,0.0
2025-01-17,21173,78,85,0.0,0.0
2025-01-16,21179,78,85,0.0,0.0
2025-01-15,21181,78,85,0.0,0.0
2025-01-14,21177,78,85,0.0,0.0
2025-01-13,21176,78,85,0.0,0.0
2025-01-12,21177,78,85,0.0,0.0
2025-01-11,21175,78,85,0.0,0.0
2025-01-10,21172,78,85,0.0,0.0
2025-01-09,21170,78,85,0.0,0.0
2025-01-08,21166,78,85,0.0,0.0
2025-01-07,21174,78,85,0.0,0.0
2025-01-06,21168,78,85,0.0,0.0
2025-01-05,21170,78,85,0.0,0.0
2025-01-04,21171,78,85,0.0,0.0
2025-01-03,21170,78,85,0.0,0.0
2025-01-02,21172,78,85,0.0,0.0
2025-01-01,21173,78,85,0.0,0.0
2024-12-31,21175,78,85,0.0,0.0
2024-12-30,21181,78,85,0.0,0.0
2024-12-29,21176,78,85,0.0,0.0
2024-12-28,21177,78,85,0.0,0.0
2024-12-27,21179,78,85,0.0,0.0
2024-12-26,21177,78,85,0.0,0.0
2024-12-25,21179,78,85,0.0,0.0
2024-12-24,21182,78,85,0.0,0.0
2024-12-23,21184,78,85,0.0,0.0
2024-12-22,21188,78,85,0.0,0.0
2024-12-21,21187,78,85,0.0,0.0
2024-12-20,21189,78,85,0.0,0.0
2024-12-19,21185,78,85,0.0,0.0
2024-12-18,21188,78,85,0.0,0.0
2024-12-17,21186,78,85,0.0,0.0
2024-12-16,21187,78,85,0.0,0.0
2024-12-15,21190,78,85,0.0,0.0
2024-12-14,21194,78,85,0.0,0.0
2024-12-13,21192,78,85,0.0,0.0
2024-12-12,21192,78,85,0.0,0.0
2024-12-11,21192,78,85,0.0,0.0
2024-12-10,21192,78,85,0.0,0.0
2024-12-09,21189,78,85,0.0,0.0
2024-12-08,21191,78,85,0.0,0.0
2024-12-07,21187,78,85,0.0,0.0
2024-12-06,21187,78,85,0.0,0.0
2024-12-05,21182,78,85,0.0,0.0
2024-12-04,21187,78,85,0.0,0.0
2024-12-03,21188,78,85,0.0,0.0
2024-12-02,21191,78,85,0.0,0.0
2024-12-01,21195,78,85,0.0,0.0
2024-11-30,21195,78,85,0.0,0.0
2024-11-29,21197,78,85,0.0,0.0
2024-11-28,21193,78,85,0.0,0.0
2024-11-27,21199,78,85,0.0,0.0
2024-11-26,21194,78,85,0.0,0.0
2024-11-25,21199,78,85,0.0,0.0
2024-11-24,21201,78,85,0.0,0.0
2024-11-23,21197,78,85,0.0,0.0
2024-11-22,21206,78,85,0.0,0.0
2024-11-21,21204,78,85,0.0,0.0
2024-11-20,21202,78,85,0.0,0.0
2024-11-19,21203,78,85,0.0,0.0
2024-11-18,21210,78,85,0.0,0.0
2024-11-17,21208,78,85,0.0,0.0
2024-11-16,21205,78,85,0.0,0.0
2024-11-15,21205,78,85,0.0,0.0
2024-11-14,21204,78,85,0.0,0.0
2024-11-13,21205,78,85,0.0,0.0
2024-11-12,21202,78,85,0.0,0.0
2024-11-11,21205,78,85,0.0,0.0
2024-11-10,21207,78,85,0.0,0.0
2024-11-09,21204,78,85,0.0,0.0
2024-11-08,21202,78,85,0.0,0.0
2024-11-07,21205,78,85,0.0,0.0
2024-11-06,21210,78,85,0.0,0.0
2024-11-05,21208,78,85,0.0,0.0
2024-11-04,21200,78,85,0.0,0.0
2024-11-03,21201,78,85,0.0,0.0
2024-11-02,21194,78,85,0.0,0.0
