,main_artist,main_artist_ig,main_artist_tt,main_artist_yt
332,Dustin Lynch,dustinlynchmusic,dustinlynchmusic,@DustinLynch
333,The Citizens of Halloween,,,
334,The Beatles,thebeatles,thebeatles,@TheBeatles
335,Stray Kids,realstraykids,jypestraykids,@StrayKids
336,Riley Green,rileyduckman,rileyduckman,@RileyGreenMusic
337,310babii,310babii,310babii,@310babii
338,Andre 3000,andre3000,,@andre3000
339,BigXthaPlug,bigxthaplug,bigxthaplug,@BigXthaPlug
340,Xavi,xaviiioficial,xaviiioficial,@XaviMusic
341,Flo Milli,flomillishit,flomillishit,@FloMilli
342,George Birge,georgebirge,georgebirge,@GeorgeBirge
343,The Red Clay Strays,redclaystrays,redclaystrays,@TheRedClayStrays
344,Cher,cher,cher,@Cher
345,Jackson 5,,,@thejacksonslegacy
346,Perry Como,,,@PerryComo
347,Chayce Beckham,chaycebeckhammusic,chaycebeckhammusic,@ChayceBeckham
348,Sophie Ellis-Bextor,sophieellisbextor,sophie_eb,@SophieEllisBextor
349,4Batz,4batz,4batz,@4Batz
350,Dylan Gossett,dylangossettt,dylangossett,@DylanGossett
351,Fridayy,fridayy,fridayy,@Fridayy
352,Tee Grizzley,teegrizzley,teegrizzley,@TeeGrizzley
353,Ariana Grande,arianagrande,arianagrande,@ArianaGrande
