model,accuracy,macro_f1,weighted_f1,roc_auc
LogisticRegression (balanced),0.6233400222965441,0.575046171027868,0.6414049071137651,0.653846893311451
RandomForest (balanced),0.7448428093645485,0.6532025282598486,0.7427888757556199,0.6763967105853084
HistGradientBoosting,0.7007781493868451,0.5699965756968038,0.6885971742684255,0.6385357783254034
