model,mean_mae,std_mae,mean_rmse,mean_r2,std_r2
ElasticNet,6.314143803525421,0.7136046093609479,11.461677324628832,-0.06406175446827031,0.1441305095870641
Ridge,7.009441763880105,1.2874685121347633,14.015604966157571,-0.8502228109192871,1.5733311884308905
QuantileRegressor (q=0.5),6.516861278891159,0.7265552570619774,12.23842883458328,-0.202586807031234,0.04905973563071091
HistGB (squared error),6.733295406537444,0.5978915683605949,11.042763808321563,0.01964640826563755,0.052825617496248055
PoissonRegressor,7.7526635107795085,1.1897076419552615,13.4422242555954,-0.7591942388334678,1.6433126685441561
HistGB (Poisson loss),7.472218017598405,0.8759283336245329,11.268990719022597,-0.02037025761543576,0.06622803914118901
