model,accuracy,macro_f1,weighted_f1
LogisticRegression (balanced),0.3534292084726867,0.2719158707486906,0.38266875601092504
RandomForest (balanced),0.5177569676700111,0.3393503078373517,0.4925862680517241
HistGradientBoosting,0.5236945373467112,0.30369451484918114,0.4762648151267806
