,chart_week,current_week,title,performers,last_week,peak_pos,wks_on_chart,song_id,main_artist
18,2022-10-29,19,Never Hating,Lil Baby & Young Thug,-,19,1,Never Hating — Lil Baby & Young Thug,Lil Baby
19,2022-10-29,20,About Damn Time,Lizzo,11,1,27,About Damn Time — Lizzo,Lizzo
20,2022-10-29,21,Heyy,Lil Baby,77,21,2,Heyy — Lil Baby,Lil Baby
21,2022-10-29,22,Stand On It,Lil Baby,-,22,1,Stand On It — Lil Baby,Lil Baby
22,2022-10-29,23,The Kind Of Love We Make,Luke Combs,9,8,18,The Kind Of Love We Make — Luke Combs,Luke Combs
23,2022-10-29,24,Tomorrow 2,GloRilla & Cardi B,19,9,4,Tomorrow 2 — GloRilla & Cardi B,GloRilla
24,2022-10-29,25,Titi Me Pregunto,Bad Bunny,15,5,24,Titi Me Pregunto — Bad Bunny,Bad Bunny
25,2022-10-29,26,Not Finished,Lil Baby,-,26,1,Not Finished — Lil Baby,Lil Baby
26,2022-10-29,27,Late Night Talking,Harry Styles,18,3,22,Late Night Talking — Harry Styles,Harry Styles
27,2022-10-29,28,She Had Me At Heads Carolina,Cole Swindell,20,16,21,She Had Me At Heads Carolina — Cole Swindell,Cole Swindell
28,2022-10-29,29,Under The Influence,Chris Brown,23,23,6,Under The Influence — Chris Brown,Chris Brown
29,2022-10-29,30,Me Porto Bonito,Bad Bunny & Chencho Corleone,17,6,24,Me Porto Bonito — Bad Bunny & Chencho Corleone,Bad Bunny
30,2022-10-29,31,Jimmy Cooks,Drake Featuring 21 Savage,22,1,18,Jimmy Cooks — Drake Featuring 21 Savage,Drake
31,2022-10-29,32,Perfect Timing,Lil Baby,-,32,1,Perfect Timing — Lil Baby,Lil Baby
32,2022-10-29,33,Cuff It,Beyonce,27,13,10,Cuff It — Beyonce,Beyonce
33,2022-10-29,34,Hold Me Closer,Elton John & Britney Spears,24,6,8,Hold Me Closer — Elton John & Britney Spears,Elton John
34,2022-10-29,35,Rock And A Hard Place,Bailey Zimmerman,31,24,19,Rock And A Hard Place — Bailey Zimmerman,Bailey Zimmerman
35,2022-10-29,36,Fall In Love,Bailey Zimmerman,29,29,25,Fall In Love — Bailey Zimmerman,Bailey Zimmerman
37,2022-10-29,38,Thank God,Kane Brown With Katelyn Brown,26,22,6,Thank God — Kane Brown With Katelyn Brown,Kane Brown
38,2022-10-29,39,Unstoppable,Sia,28,28,16,Unstoppable — Sia,Sia
39,2022-10-29,40,Poland,Lil Yachty,65,40,2,Poland — Lil Yachty,Lil Yachty
40,2022-10-29,41,5 Foot 9,Tyler Hubbard,25,22,19,5 Foot 9 — Tyler Hubbard,Tyler Hubbard
41,2022-10-29,42,From Now On,Lil Baby Featuring Future,-,42,1,From Now On — Lil Baby Featuring Future,Lil Baby
42,2022-10-29,43,Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X,32,32,4,Star Walkin' (League Of Legends Worlds Anthem) — Lil Nas X,Lil Nas X
43,2022-10-29,44,First Class,Jack Harlow,30,1,28,First Class — Jack Harlow,Jack Harlow
44,2022-10-29,45,Waterfall Flow,Lil Baby,-,45,1,Waterfall Flow — Lil Baby,Lil Baby
45,2022-10-29,46,Romantic Homicide,d4vd,36,33,7,Romantic Homicide — d4vd,d4vd
46,2022-10-29,47,Victoria’s Secret,Jax,35,35,12,Victoria’s Secret — Jax,Jax
47,2022-10-29,48,Until I Found You,Stephen Sanchez,38,38,16,Until I Found You — Stephen Sanchez,Stephen Sanchez
48,2022-10-29,49,Son Of A Sinner,Jelly Roll,37,31,16,Son Of A Sinner — Jelly Roll,Jelly Roll
49,2022-10-29,50,Don't Come Lookin',Jackson Dean,52,50,8,Don't Come Lookin' — Jackson Dean,Jackson Dean
50,2022-10-29,51,What My World Spins Around,Jordan Davis,41,41,10,What My World Spins Around — Jordan Davis,Jordan Davis
51,2022-10-29,52,Everything,Lil Baby,-,52,1,Everything — Lil Baby,Lil Baby
52,2022-10-29,53,Bye Bye,Marshmello & Juice WRLD,-,53,1,Bye Bye — Marshmello & Juice WRLD,Marshmello
53,2022-10-29,54,Double Down,Lil Baby,-,54,1,Double Down — Lil Baby,Lil Baby
54,2022-10-29,55,Whiskey On You,Nate Smith,44,44,18,Whiskey On You — Nate Smith,Nate Smith
55,2022-10-29,56,Glimpse Of Us,Joji,34,8,19,Glimpse Of Us — Joji,Joji
56,2022-10-29,57,Cost To Be Alive,Lil Baby & Rylo Rodriguez,-,57,1,Cost To Be Alive — Lil Baby & Rylo Rodriguez,Lil Baby
57,2022-10-29,58,Shiest Talk,Lil Baby Featuring Pooh Shiesty,-,58,1,Shiest Talk — Lil Baby Featuring Pooh Shiesty,Lil Baby
58,2022-10-29,59,Betty (Get Money),Yung Gravy,39,30,15,Betty (Get Money) — Yung Gravy,Yung Gravy
59,2022-10-29,60,Wishful Drinking,Ingrid Andress With Sam Hunt,47,47,16,Wishful Drinking — Ingrid Andress With Sam Hunt,Ingrid Andress
60,2022-10-29,61,Edging,Blink-182,-,61,1,Edging — Blink-182,Blink-182
61,2022-10-29,62,Golden Hour,JVKE,56,56,8,Golden Hour — JVKE,JVKE
62,2022-10-29,63,Half Of Me,Thomas Rhett Featuring Riley Green,53,53,9,Half Of Me — Thomas Rhett Featuring Riley Green,Thomas Rhett
63,2022-10-29,64,Top Priority,Lil Baby,-,64,1,Top Priority — Lil Baby,Lil Baby
64,2022-10-29,65,Free Mind,Tems,50,46,14,Free Mind — Tems,Tems
65,2022-10-29,66,Staying Alive,DJ Khaled Featuring Drake & Lil Baby,49,5,11,Staying Alive — DJ Khaled Featuring Drake & Lil Baby,DJ Khaled
66,2022-10-29,67,No Se Va,Grupo Frontera,57,57,4,No Se Va — Grupo Frontera,Grupo Frontera
67,2022-10-29,68,Back And Forth,Lil Baby & EST Gee,-,68,1,Back And Forth — Lil Baby & EST Gee,Lil Baby
68,2022-10-29,69,Danger,Lil Baby,-,69,1,Danger — Lil Baby,Lil Baby
69,2022-10-29,70,Russian Roulette,Lil Baby,-,70,1,Russian Roulette — Lil Baby,Lil Baby
70,2022-10-29,71,Billie Eilish.,Armani White,58,58,6,Billie Eilish. — Armani White,Armani White
71,2022-10-29,72,2 Be Loved (Am I Ready),Lizzo,55,55,10,2 Be Loved (Am I Ready) — Lizzo,Lizzo
72,2022-10-29,73,Last Last,Burna Boy,48,44,15,Last Last — Burna Boy,Burna Boy
73,2022-10-29,74,Music For A Sushi Restaurant,Harry Styles,59,8,14,Music For A Sushi Restaurant — Harry Styles,Harry Styles
74,2022-10-29,75,Wait In The Truck,HARDY Featuring Lainey Wilson,54,54,7,Wait In The Truck — HARDY Featuring Lainey Wilson,HARDY
75,2022-10-29,76,FR,Lil Baby,-,76,1,FR — Lil Baby,Lil Baby
76,2022-10-29,77,Evergreen,Omar Apollo,60,51,5,Evergreen — Omar Apollo,Omar Apollo
77,2022-10-29,78,All Mine,Brent Faiyaz,62,42,11,All Mine — Brent Faiyaz,Brent Faiyaz
78,2022-10-29,79,Gotta Move On,Diddy & Bryson Tiller,90,79,3,Gotta Move On — Diddy & Bryson Tiller,Diddy
79,2022-10-29,80,No Fly Zone,Lil Baby,-,80,1,No Fly Zone — Lil Baby,Lil Baby
80,2022-10-29,81,Stop Playin,Lil Baby Featuring Jeremih,-,81,1,Stop Playin — Lil Baby Featuring Jeremih,Lil Baby
81,2022-10-29,82,La Bachata,Manuel Turizo,67,67,9,La Bachata — Manuel Turizo,Manuel Turizo
82,2022-10-29,83,Gatubela,Karol G x Maldy,66,37,8,Gatubela — Karol G x Maldy,Karol G
83,2022-10-29,84,Freestyle,Lil Baby,63,63,6,Freestyle — Lil Baby,Lil Baby
84,2022-10-29,85,Left And Right,Charlie Puth Featuring Jung Kook,42,22,17,Left And Right — Charlie Puth Featuring Jung Kook,Charlie Puth
85,2022-10-29,86,Just Wanna Rock,Lil Uzi Vert,-,86,1,Just Wanna Rock — Lil Uzi Vert,Lil Uzi Vert
86,2022-10-29,87,Numb,Marshmello & Khalid,64,40,16,Numb — Marshmello & Khalid,Marshmello
87,2022-10-29,88,Break My Soul,Beyonce,61,1,18,Break My Soul — Beyonce,Beyonce
88,2022-10-29,89,Calm Down,Rema & Selena Gomez,74,74,7,Calm Down — Rema & Selena Gomez,Rema
89,2022-10-29,90,Pick Me Up,Gabby Barrett,70,69,12,Pick Me Up — Gabby Barrett,Gabby Barrett
90,2022-10-29,91,Country On,Luke Bryan,72,72,9,Country On — Luke Bryan,Luke Bryan
91,2022-10-29,92,Despecha,Rosalia,69,63,11,Despecha — Rosalia,Rosalia
92,2022-10-29,93,She Likes It,Russell Dickerson & Jake Scott,73,63,29,She Likes It — Russell Dickerson & Jake Scott,Russell Dickerson
93,2022-10-29,94,Tennessee Orange,Megan Moroney,75,75,3,Tennessee Orange — Megan Moroney,Megan Moroney
94,2022-10-29,95,Snap,Rosa Linn,82,82,8,Snap — Rosa Linn,Rosa Linn
95,2022-10-29,96,Static,Steve Lacy,84,78,7,Static — Steve Lacy,Steve Lacy
96,2022-10-29,97,"Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,79,79,9,"Bzrp Music Sessions, Vol. 52 — Bizarrap & Quevedo",Bizarrap
97,2022-10-29,98,Soul,Lee Brice,85,83,6,Soul — Lee Brice,Lee Brice
98,2022-10-29,99,Forget Me,Lewis Capaldi,95,95,3,Forget Me — Lewis Capaldi,Lewis Capaldi
99,2022-10-29,100,Good Love,City Girls & Usher,86,70,5,Good Love — City Girls & Usher,City Girls
0,2022-11-05,1,Anti-Hero,Taylor Swift,-,1,1,Anti-Hero — Taylor Swift,Taylor Swift
1,2022-11-05,2,Lavender Haze,Taylor Swift,-,2,1,Lavender Haze — Taylor Swift,Taylor Swift
2,2022-11-05,3,Maroon,Taylor Swift,-,3,1,Maroon — Taylor Swift,Taylor Swift
3,2022-11-05,4,Snow On The Beach,Taylor Swift Featuring Lana Del Rey,-,4,1,Snow On The Beach — Taylor Swift Featuring Lana Del Rey,Taylor Swift
4,2022-11-05,5,Midnight Rain,Taylor Swift,-,5,1,Midnight Rain — Taylor Swift,Taylor Swift
5,2022-11-05,6,Bejeweled,Taylor Swift,-,6,1,Bejeweled — Taylor Swift,Taylor Swift
6,2022-11-05,7,Question...?,Taylor Swift,-,7,1,Question...? — Taylor Swift,Taylor Swift
7,2022-11-05,8,"You're On Your Own, Kid",Taylor Swift,-,8,1,"You're On Your Own, Kid — Taylor Swift",Taylor Swift
8,2022-11-05,9,Karma,Taylor Swift,-,9,1,Karma — Taylor Swift,Taylor Swift
9,2022-11-05,10,Vigilante Shit,Taylor Swift,-,10,1,Vigilante Shit — Taylor Swift,Taylor Swift
10,2022-11-05,11,Unholy,Sam Smith & Kim Petras,1,1,5,Unholy — Sam Smith & Kim Petras,Sam Smith
11,2022-11-05,12,Bad Habit,Steve Lacy,2,1,17,Bad Habit — Steve Lacy,Steve Lacy
12,2022-11-05,13,Mastermind,Taylor Swift,-,13,1,Mastermind — Taylor Swift,Taylor Swift
13,2022-11-05,14,Labyrinth,Taylor Swift,-,14,1,Labyrinth — Taylor Swift,Taylor Swift
14,2022-11-05,15,Sweet Nothing,Taylor Swift,-,15,1,Sweet Nothing — Taylor Swift,Taylor Swift
15,2022-11-05,16,As It Was,Harry Styles,3,1,30,As It Was — Harry Styles,Harry Styles
16,2022-11-05,17,I Like You (A Happier Song),Post Malone Featuring Doja Cat,5,3,21,I Like You (A Happier Song) — Post Malone Featuring Doja Cat,Post Malone
17,2022-11-05,18,I Ain't Worried,OneRepublic,6,6,20,I Ain't Worried — OneRepublic,OneRepublic
18,2022-11-05,19,You Proof,Morgan Wallen,7,5,24,You Proof — Morgan Wallen,Morgan Wallen
19,2022-11-05,20,"Would've, Could've, Should've",Taylor Swift,-,20,1,"Would've, Could've, Should've — Taylor Swift",Taylor Swift
20,2022-11-05,21,Bigger Than The Whole Sky,Taylor Swift,-,21,1,Bigger Than The Whole Sky — Taylor Swift,Taylor Swift
21,2022-11-05,22,Super Freaky Girl,Nicki Minaj,9,1,11,Super Freaky Girl — Nicki Minaj,Nicki Minaj
22,2022-11-05,23,Sunroof,Nicky Youre & dazy,11,4,22,Sunroof — Nicky Youre & dazy,Nicky Youre
23,2022-11-05,24,I'm Good (Blue),David Guetta & Bebe Rexha,14,14,9,I'm Good (Blue) — David Guetta & Bebe Rexha,David Guetta
24,2022-11-05,25,Under The Influence,Chris Brown,29,23,7,Under The Influence — Chris Brown,Chris Brown
25,2022-11-05,26,The Great War,Taylor Swift,-,26,1,The Great War — Taylor Swift,Taylor Swift
26,2022-11-05,27,Vegas,Doja Cat,13,10,21,Vegas — Doja Cat,Doja Cat
27,2022-11-05,28,Something In The Orange,Zach Bryan,12,12,27,Something In The Orange — Zach Bryan,Zach Bryan
29,2022-11-05,30,Jimmy Cooks,Drake Featuring 21 Savage,31,1,19,Jimmy Cooks — Drake Featuring 21 Savage,Drake
30,2022-11-05,31,Wait For U,Future Featuring Drake & Tems,18,1,26,Wait For U — Future Featuring Drake & Tems,Future
31,2022-11-05,32,Paris,Taylor Swift,-,32,1,Paris — Taylor Swift,Taylor Swift
32,2022-11-05,33,High Infidelity,Taylor Swift,-,33,1,High Infidelity — Taylor Swift,Taylor Swift
33,2022-11-05,34,Tomorrow 2,GloRilla & Cardi B,24,9,5,Tomorrow 2 — GloRilla & Cardi B,GloRilla
34,2022-11-05,35,Titi Me Pregunto,Bad Bunny,25,5,25,Titi Me Pregunto — Bad Bunny,Bad Bunny
35,2022-11-05,36,About Damn Time,Lizzo,20,1,28,About Damn Time — Lizzo,Lizzo
36,2022-11-05,37,The Kind Of Love We Make,Luke Combs,23,8,19,The Kind Of Love We Make — Luke Combs,Luke Combs
37,2022-11-05,38,Late Night Talking,Harry Styles,27,3,23,Late Night Talking — Harry Styles,Harry Styles
38,2022-11-05,39,Cuff It,Beyonce,33,13,11,Cuff It — Beyonce,Beyonce
39,2022-11-05,40,She Had Me At Heads Carolina,Cole Swindell,28,16,22,She Had Me At Heads Carolina — Cole Swindell,Cole Swindell
40,2022-11-05,41,Glitch,Taylor Swift,-,41,1,Glitch — Taylor Swift,Taylor Swift
41,2022-11-05,42,Me Porto Bonito,Bad Bunny & Chencho Corleone,30,6,25,Me Porto Bonito — Bad Bunny & Chencho Corleone,Bad Bunny
43,2022-11-05,44,California Breeze,Lil Baby,4,4,2,California Breeze — Lil Baby,Lil Baby
44,2022-11-05,45,Dear Reader,Taylor Swift,-,45,1,Dear Reader — Taylor Swift,Taylor Swift
45,2022-11-05,46,Forever,Lil Baby Featuring Fridayy,8,8,2,Forever — Lil Baby Featuring Fridayy,Lil Baby
46,2022-11-05,47,Hold Me Closer,Elton John & Britney Spears,34,6,9,Hold Me Closer — Elton John & Britney Spears,Elton John
47,2022-11-05,48,Just Wanna Rock,Lil Uzi Vert,86,48,2,Just Wanna Rock — Lil Uzi Vert,Lil Uzi Vert
48,2022-11-05,49,5 Foot 9,Tyler Hubbard,41,22,20,5 Foot 9 — Tyler Hubbard,Tyler Hubbard
49,2022-11-05,50,Unstoppable,Sia,39,28,17,Unstoppable — Sia,Sia
50,2022-11-05,51,Thank God,Kane Brown With Katelyn Brown,38,22,7,Thank God — Kane Brown With Katelyn Brown,Kane Brown
51,2022-11-05,52,Fall In Love,Bailey Zimmerman,36,29,26,Fall In Love — Bailey Zimmerman,Bailey Zimmerman
52,2022-11-05,53,Rock And A Hard Place,Bailey Zimmerman,35,24,20,Rock And A Hard Place — Bailey Zimmerman,Bailey Zimmerman
53,2022-11-05,54,Golden Hour,JVKE,62,54,9,Golden Hour — JVKE,JVKE
54,2022-11-05,55,Heyy,Lil Baby,21,21,3,Heyy — Lil Baby,Lil Baby
55,2022-11-05,56,Half Of Me,Thomas Rhett Featuring Riley Green,63,53,10,Half Of Me — Thomas Rhett Featuring Riley Green,Thomas Rhett
56,2022-11-05,57,Until I Found You,Stephen Sanchez,48,38,17,Until I Found You — Stephen Sanchez,Stephen Sanchez
57,2022-11-05,58,Victoria’s Secret,Jax,47,35,13,Victoria’s Secret — Jax,Jax
58,2022-11-05,59,Son Of A Sinner,Jelly Roll,49,31,17,Son Of A Sinner — Jelly Roll,Jelly Roll
59,2022-11-05,60,Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X,43,32,5,Star Walkin' (League Of Legends Worlds Anthem) — Lil Nas X,Lil Nas X
60,2022-11-05,61,Romantic Homicide,d4vd,46,33,8,Romantic Homicide — d4vd,d4vd
61,2022-11-05,62,What My World Spins Around,Jordan Davis,51,41,11,What My World Spins Around — Jordan Davis,Jordan Davis
62,2022-11-05,63,Real Spill,Lil Baby,10,10,2,Real Spill — Lil Baby,Lil Baby
63,2022-11-05,64,Don't Come Lookin',Jackson Dean,50,50,9,Don't Come Lookin' — Jackson Dean,Jackson Dean
64,2022-11-05,65,Monotonia,Shakira + Ozuna,-,65,1,Monotonia — Shakira + Ozuna,Shakira
65,2022-11-05,66,Stand On It,Lil Baby,22,22,2,Stand On It — Lil Baby,Lil Baby
66,2022-11-05,67,Never Hating,Lil Baby & Young Thug,19,19,2,Never Hating — Lil Baby & Young Thug,Lil Baby
67,2022-11-05,68,Wishful Drinking,Ingrid Andress With Sam Hunt,60,47,17,Wishful Drinking — Ingrid Andress With Sam Hunt,Ingrid Andress
68,2022-11-05,69,No Se Va,Grupo Frontera,67,57,5,No Se Va — Grupo Frontera,Grupo Frontera
69,2022-11-05,70,Free Mind,Tems,65,46,15,Free Mind — Tems,Tems
70,2022-11-05,71,Not Finished,Lil Baby,26,26,2,Not Finished — Lil Baby,Lil Baby
71,2022-11-05,72,Music For A Sushi Restaurant,Harry Styles,74,8,15,Music For A Sushi Restaurant — Harry Styles,Harry Styles
72,2022-11-05,73,Pop Out,Lil Baby & Nardo Wick,15,15,2,Pop Out — Lil Baby & Nardo Wick,Lil Baby
73,2022-11-05,74,Staying Alive,DJ Khaled Featuring Drake & Lil Baby,66,5,12,Staying Alive — DJ Khaled Featuring Drake & Lil Baby,DJ Khaled
74,2022-11-05,75,Poland,Lil Yachty,40,40,3,Poland — Lil Yachty,Lil Yachty
75,2022-11-05,76,Whiskey On You,Nate Smith,55,44,19,Whiskey On You — Nate Smith,Nate Smith
76,2022-11-05,77,Billie Eilish.,Armani White,71,58,7,Billie Eilish. — Armani White,Armani White
77,2022-11-05,78,Betty (Get Money),Yung Gravy,59,30,16,Betty (Get Money) — Yung Gravy,Yung Gravy
78,2022-11-05,79,2 Be Loved (Am I Ready),Lizzo,72,55,11,2 Be Loved (Am I Ready) — Lizzo,Lizzo
79,2022-11-05,80,Wait In The Truck,HARDY Featuring Lainey Wilson,75,54,8,Wait In The Truck — HARDY Featuring Lainey Wilson,HARDY
80,2022-11-05,81,All Mine,Brent Faiyaz,78,42,12,All Mine — Brent Faiyaz,Brent Faiyaz
81,2022-11-05,82,La Bachata,Manuel Turizo,82,67,10,La Bachata — Manuel Turizo,Manuel Turizo
82,2022-11-05,83,Last Last,Burna Boy,73,44,16,Last Last — Burna Boy,Burna Boy
83,2022-11-05,84,Glimpse Of Us,Joji,56,8,20,Glimpse Of Us — Joji,Joji
84,2022-11-05,85,Freestyle,Lil Baby,84,63,7,Freestyle — Lil Baby,Lil Baby
85,2022-11-05,86,Calm Down,Rema & Selena Gomez,89,74,8,Calm Down — Rema & Selena Gomez,Rema
86,2022-11-05,87,Gatubela,Karol G x Maldy,83,37,9,Gatubela — Karol G x Maldy,Karol G
87,2022-11-05,88,Evergreen,Omar Apollo,77,51,6,Evergreen — Omar Apollo,Omar Apollo
88,2022-11-05,89,Pick Me Up,Gabby Barrett,90,69,13,Pick Me Up — Gabby Barrett,Gabby Barrett
89,2022-11-05,90,Gotta Move On,Diddy & Bryson Tiller,79,79,4,Gotta Move On — Diddy & Bryson Tiller,Diddy
90,2022-11-05,91,Perfect Timing,Lil Baby,32,32,2,Perfect Timing — Lil Baby,Lil Baby
91,2022-11-05,92,Country On,Luke Bryan,91,72,10,Country On — Luke Bryan,Luke Bryan
92,2022-11-05,93,Snap,Rosa Linn,95,82,9,Snap — Rosa Linn,Rosa Linn
93,2022-11-05,94,She Likes It,Russell Dickerson & Jake Scott,93,63,30,She Likes It — Russell Dickerson & Jake Scott,Russell Dickerson
94,2022-11-05,95,Made You Look,Meghan Trainor,-,95,1,Made You Look — Meghan Trainor,Meghan Trainor
95,2022-11-05,96,Dark Red,Steve Lacy,-,78,5,Dark Red — Steve Lacy,Steve Lacy
96,2022-11-05,97,From Now On,Lil Baby Featuring Future,42,42,2,From Now On — Lil Baby Featuring Future,Lil Baby
97,2022-11-05,98,Forget Me,Lewis Capaldi,99,95,4,Forget Me — Lewis Capaldi,Lewis Capaldi
98,2022-11-05,99,Miss You,Oliver Tree & Robin Schulz,-,99,1,Miss You — Oliver Tree & Robin Schulz,Oliver Tree
99,2022-11-05,100,Despecha,Rosalia,92,63,12,Despecha — Rosalia,Rosalia
0,2022-11-12,1,Anti-Hero,Taylor Swift,1,1,2,Anti-Hero — Taylor Swift,Taylor Swift
1,2022-11-12,2,Lift Me Up,Rihanna,-,2,1,Lift Me Up — Rihanna,Rihanna
2,2022-11-12,3,Unholy,Sam Smith & Kim Petras,11,1,6,Unholy — Sam Smith & Kim Petras,Sam Smith
3,2022-11-12,4,Bad Habit,Steve Lacy,12,1,18,Bad Habit — Steve Lacy,Steve Lacy
4,2022-11-12,5,As It Was,Harry Styles,16,1,31,As It Was — Harry Styles,Harry Styles
5,2022-11-12,6,Lavender Haze,Taylor Swift,2,2,2,Lavender Haze — Taylor Swift,Taylor Swift
6,2022-11-12,7,Midnight Rain,Taylor Swift,5,5,2,Midnight Rain — Taylor Swift,Taylor Swift
7,2022-11-12,8,I Like You (A Happier Song),Post Malone Featuring Doja Cat,17,3,22,I Like You (A Happier Song) — Post Malone Featuring Doja Cat,Post Malone
8,2022-11-12,9,Bejeweled,Taylor Swift,6,6,2,Bejeweled — Taylor Swift,Taylor Swift
9,2022-11-12,10,Super Freaky Girl,Nicki Minaj,22,1,12,Super Freaky Girl — Nicki Minaj,Nicki Minaj
10,2022-11-12,11,Shirt,SZA,-,11,1,Shirt — SZA,SZA
11,2022-11-12,12,Maroon,Taylor Swift,3,3,2,Maroon — Taylor Swift,Taylor Swift
12,2022-11-12,13,I Ain't Worried,OneRepublic,18,6,21,I Ain't Worried — OneRepublic,OneRepublic
13,2022-11-12,14,You Proof,Morgan Wallen,19,5,25,You Proof — Morgan Wallen,Morgan Wallen
14,2022-11-12,15,I'm Good (Blue),David Guetta & Bebe Rexha,24,14,10,I'm Good (Blue) — David Guetta & Bebe Rexha,David Guetta
15,2022-11-12,16,Snow On The Beach,Taylor Swift Featuring Lana Del Rey,4,4,2,Snow On The Beach — Taylor Swift Featuring Lana Del Rey,Taylor Swift
16,2022-11-12,17,Karma,Taylor Swift,9,9,2,Karma — Taylor Swift,Taylor Swift
17,2022-11-12,18,Vegas,Doja Cat,27,10,22,Vegas — Doja Cat,Doja Cat
18,2022-11-12,19,Sunroof,Nicky Youre & dazy,23,4,23,Sunroof — Nicky Youre & dazy,Nicky Youre
19,2022-11-12,20,"You're On Your Own, Kid",Taylor Swift,8,8,2,"You're On Your Own, Kid — Taylor Swift",Taylor Swift
20,2022-11-12,21,Under The Influence,Chris Brown,25,21,8,Under The Influence — Chris Brown,Chris Brown
22,2022-11-12,23,In My Head,Juice WRLD,-,23,1,In My Head — Juice WRLD,Juice WRLD
23,2022-11-12,24,Vigilante Shit,Taylor Swift,10,10,2,Vigilante Shit — Taylor Swift,Taylor Swift
24,2022-11-12,25,Jimmy Cooks,Drake Featuring 21 Savage,30,1,20,Jimmy Cooks — Drake Featuring 21 Savage,Drake
27,2022-11-12,28,Wait For U,Future Featuring Drake & Tems,31,1,27,Wait For U — Future Featuring Drake & Tems,Future
28,2022-11-12,29,Something In The Orange,Zach Bryan,28,12,28,Something In The Orange — Zach Bryan,Zach Bryan
29,2022-11-12,30,Titi Me Pregunto,Bad Bunny,35,5,26,Titi Me Pregunto — Bad Bunny,Bad Bunny
30,2022-11-12,31,Cuff It,Beyonce,39,13,12,Cuff It — Beyonce,Beyonce
31,2022-11-12,32,Question...?,Taylor Swift,7,7,2,Question...? — Taylor Swift,Taylor Swift
32,2022-11-12,33,About Damn Time,Lizzo,36,1,29,About Damn Time — Lizzo,Lizzo
33,2022-11-12,34,Late Night Talking,Harry Styles,38,3,24,Late Night Talking — Harry Styles,Harry Styles
34,2022-11-12,35,Tomorrow 2,GloRilla & Cardi B,34,9,6,Tomorrow 2 — GloRilla & Cardi B,GloRilla
35,2022-11-12,36,The Kind Of Love We Make,Luke Combs,37,8,20,The Kind Of Love We Make — Luke Combs,Luke Combs
36,2022-11-12,37,She Had Me At Heads Carolina,Cole Swindell,40,16,23,She Had Me At Heads Carolina — Cole Swindell,Cole Swindell
37,2022-11-12,38,Mastermind,Taylor Swift,13,13,2,Mastermind — Taylor Swift,Taylor Swift
38,2022-11-12,39,Unstoppable,Sia,50,28,18,Unstoppable — Sia,Sia
39,2022-11-12,40,Hold Me Closer,Elton John & Britney Spears,47,6,10,Hold Me Closer — Elton John & Britney Spears,Elton John
40,2022-11-12,41,Me Porto Bonito,Bad Bunny & Chencho Corleone,42,6,26,Me Porto Bonito — Bad Bunny & Chencho Corleone,Bad Bunny
41,2022-11-12,42,Labyrinth,Taylor Swift,14,14,2,Labyrinth — Taylor Swift,Taylor Swift
42,2022-11-12,43,Thank God,Kane Brown With Katelyn Brown,51,22,8,Thank God — Kane Brown With Katelyn Brown,Kane Brown
43,2022-11-12,44,5 Foot 9,Tyler Hubbard,49,22,21,5 Foot 9 — Tyler Hubbard,Tyler Hubbard
44,2022-11-12,45,Sweet Nothing,Taylor Swift,15,15,2,Sweet Nothing — Taylor Swift,Taylor Swift
45,2022-11-12,46,Golden Hour,JVKE,54,46,10,Golden Hour — JVKE,JVKE
47,2022-11-12,48,Just Wanna Rock,Lil Uzi Vert,48,48,3,Just Wanna Rock — Lil Uzi Vert,Lil Uzi Vert
49,2022-11-12,50,Fall In Love,Bailey Zimmerman,52,29,27,Fall In Love — Bailey Zimmerman,Bailey Zimmerman
50,2022-11-12,51,The Astronaut,Jin,-,51,1,The Astronaut — JIN,Jin
51,2022-11-12,52,Half Of Me,Thomas Rhett Featuring Riley Green,56,52,11,Half Of Me — Thomas Rhett Featuring Riley Green,Thomas Rhett
52,2022-11-12,53,Until I Found You,Stephen Sanchez,57,38,18,Until I Found You — Stephen Sanchez,Stephen Sanchez
53,2022-11-12,54,Rock And A Hard Place,Bailey Zimmerman,53,24,21,Rock And A Hard Place — Bailey Zimmerman,Bailey Zimmerman
54,2022-11-12,55,California Breeze,Lil Baby,44,4,3,California Breeze — Lil Baby,Lil Baby
55,2022-11-12,56,Victoria’s Secret,Jax,58,35,14,Victoria’s Secret — Jax,Jax
56,2022-11-12,57,Son Of A Sinner,Jelly Roll,59,31,18,Son Of A Sinner — Jelly Roll,Jelly Roll
57,2022-11-12,58,What My World Spins Around,Jordan Davis,62,41,12,What My World Spins Around — Jordan Davis,Jordan Davis
58,2022-11-12,59,"Would've, Could've, Should've",Taylor Swift,20,20,2,"Would've, Could've, Should've — Taylor Swift",Taylor Swift
59,2022-11-12,60,Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X,60,32,6,Star Walkin' (League Of Legends Worlds Anthem) — Lil Nas X,Lil Nas X
60,2022-11-12,61,Heyy,Lil Baby,55,21,4,Heyy — Lil Baby,Lil Baby
61,2022-11-12,62,Music For A Sushi Restaurant,Harry Styles,72,8,16,Music For A Sushi Restaurant — Harry Styles,Harry Styles
62,2022-11-12,63,Made You Look,Meghan Trainor,95,63,2,Made You Look — Meghan Trainor,Meghan Trainor
