threshold,pos_rate,mean_auc,std_auc,mean_f1
> 5w,33.7%,0.693275938212716,0.027249033750150878,0.5349640919380552
> 7w,29.0%,0.6996180355225183,0.0163304795897331,0.5192654632189516
> 10w,24.8%,0.6763967105853084,0.027472590399541343,0.4769097573581248
> 13w,20.9%,0.6641777573768741,0.05457174521599598,0.4305713425438477
