model,n_features,auc,std,f1
RF (tuned),20,0.7365131247290544,0.014577484132876534,0.5539419905529407
LGBM (tuned),20,0.724802933922783,0.04334277865557716,0.4955024460747944
RF (tuned),30,0.722141872718446,0.013203523196698277,0.5344352825618006
LGBM (tuned),30,0.7183967666469057,0.03425503981297155,0.4741504936161517
RF (tuned),40,0.7262286312237338,0.010846761718568597,0.5363981024440487
LGBM (tuned),40,0.7174581108753493,0.036816974880256564,0.452025910926776
RF (tuned),120,0.7071880387602019,0.01818562175151075,0.5243173115793687
LGBM (tuned),120,0.7069057762066844,0.02168149785795162,0.4685802984706956
