feature_set,n_features,mean_mae,mean_r2
entry_plus_baseline,70,0.6883791018002331,0.22093816583574002
entry_plus_all_screened,181,0.693722663720998,0.2207718719816311
entry_plus_top_ts,96,0.7153681188817788,0.18065014634811055
entry_plus_top_interactions,17,0.7252806028219237,0.14772314771955336
entry_only,1,0.7732079503850618,0.08877031319188051
