,date,artist,song_id,platform,release_date,followers,following,uploads,likes,was_inserted,tt_followers_diff_12m,tt_followers_diff_6m,tt_followers_diff_3m,tt_followers_diff_1m,tt_likes_diff_12m,tt_likes_diff_6m,tt_likes_diff_3m,tt_likes_diff_1m,tt_followers_diff_daily,tt_likes_diff_daily,tt_uploads_diff_daily
8814,2024-08-17,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5102.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8815,2024-08-18,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5102.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8816,2024-08-19,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5102.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8817,2024-08-20,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5102.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8818,2024-08-21,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5102.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8819,2024-08-22,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5102.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8820,2024-08-23,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5103.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8821,2024-08-24,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5103.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8822,2024-08-25,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5103.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8823,2024-08-26,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5103.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8824,2024-08-27,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5103.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8825,2024-08-28,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5103.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8826,2024-08-29,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5103.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8827,2024-08-30,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5103.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8828,2024-08-31,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5104.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8829,2024-09-01,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5104.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8830,2024-09-02,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5105.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8831,2024-09-03,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5106.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8832,2024-09-04,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5107.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8833,2024-09-05,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5108.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8834,2024-09-06,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5109.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8835,2024-09-07,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5110.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8836,2024-09-08,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5110.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8837,2024-09-09,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5111.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8838,2024-09-10,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5112.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8839,2024-09-11,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5112.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8840,2024-09-12,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5112.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8841,2024-09-13,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5112.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8842,2024-09-14,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5113.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8843,2024-09-15,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5113.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8844,2024-09-16,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5113.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8845,2024-09-17,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5113.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8846,2024-09-18,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5113.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8847,2024-09-19,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5113.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8848,2024-09-20,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5113.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8849,2024-09-21,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5113.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8850,2024-09-22,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5113.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8851,2024-09-23,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5113.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8852,2024-09-24,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5113.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8853,2024-09-25,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5113.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8854,2024-09-26,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5113.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8855,2024-09-27,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5113.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8856,2024-09-28,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5113.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8857,2024-09-29,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5113.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8858,2024-09-30,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5114.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8859,2024-10-01,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5116.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8860,2024-10-02,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5117.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8861,2024-10-03,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5117.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8862,2024-10-04,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5119.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8863,2024-10-05,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5119.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8864,2024-10-06,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5119.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8865,2024-10-07,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5119.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8866,2024-10-08,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5119.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8867,2024-10-09,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5119.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8868,2024-10-10,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5119.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8869,2024-10-11,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5121.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8870,2024-10-12,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5121.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8871,2024-10-13,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5121.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8872,2024-10-14,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5121.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8873,2024-10-15,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5123.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8874,2024-10-16,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5123.0,1781.0,1000000000.0,False,,,,0.0,,,,0.0,0.0,0.0,0.0
8875,2024-10-17,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5124.0,1781.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
8876,2024-10-18,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5125.0,1781.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
8877,2024-10-19,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5125.0,1781.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
8878,2024-10-20,Alex Warren,Eternity — Alex Warren,tiktok,2025-07-18,16300000.0,5126.0,1781.0,1000000000.0,False,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
