artist,ig_handle,tt_handle,yt_handle,has_ig,has_tt,has_yt,has_social_media
Bakar,bakarrrr,bakarrr,@bakar1166,True,True,True,True
Chappell Roan,chappellroan,chappellroan,@ChappellRoan,True,True,True,True
ILLIT,illit_official,illit_official,@ILLIT_official,True,True,True,True
Shaboozey,shaboozey,shaboozey,@Shaboozey,True,True,True,True
Lay Bankz,laybankz,thelaybankz,@laybankz,True,True,True,True
Ken Carson,kencarson,kencarson,@kencarson,True,True,True,True
$uicideboy$,suicideboys,suicideboys,@suicideboys-G59,True,True,True,True
Tommy Richman,tommyrichmann,tommyrichman,@tommyrichman,True,True,True,True
JT,thegirljt,thegirljtworld,@THEGIRLJTWORLD,True,True,True,True
Mark Ambor,markambor,markambor,@markambor,True,True,True,True
Luis R Conriquez,luisrconriquezoficial,luisrconriquezoficial,@LuisRConrriquezOficial,True,True,True,True
Kenny Chesney,kennychesney,kennychesney,@KennyChesney,True,True,True,True
Myles Smith,mylessmithuk,mylessmithuk,@MylesSmithT,True,True,True,True
Koe Wetzel,koe_wetzel,koe_wetzel,@KoeWetzel,True,True,True,True
Shoreline Mafia,shorelinemafia,shorelinedothatshit,@ShorelineMafia,True,True,True,True
Central Cee,centralcee,centralcee,@CentralCee,True,True,True,True
Cris Mj,cris_emejota,crismjofficial1,@cris_emejota,True,True,True,True
Kehlani,kehlani,kehlani,@kehlani,True,True,True,True
Ashley Cooke,theashleycooke,theashleycooke,@AshleyCooke,True,True,True,True
Tinashe,tinashenow,tinashe,@tinashenow,True,True,True,True
Gracie Abrams,gracieabrams,tehegracietehe,@GracieAbrams,True,True,True,True
Ella Langley,ellalangleymusic,ellalangleymusic1,@ellalangleymusic,True,True,True,True
Mustard,mustard,mustard,@mustard,True,True,True,True
Jordan Adetunji,jordanadetunji,jordanadetunji,@JordanAdetunji,True,True,True,True
Coldplay,coldplay,coldplay,@coldplay,True,True,True,True
Kelsea Ballerini,kelseaballerini,kelseaballerini,@KelseaBallerini,True,True,True,True
LISA,lalalalisa_m,lalalalisa_m,@lalalalisa_m,True,True,True,True
Childish Gambino,childishgambino,donaldglover,@childishgambino,True,True,True,True
Katy Perry,katyperry,katyperry,@KatyPerry,True,True,True,True
Real Boston Richey,realbostonrichey,realbostonrichey,@realbostonrichey_,True,True,True,True
Sevdaliza,sevdaliza,sevdaliza,@Sevdaliza,True,True,True,True
Hanumankind,hanumankind,hanumankind.otw,@Hanumankind,True,True,True,True
Royel Otis,royelotis,royelotis,@royelotis,True,True,True,True
A$AP Rocky,asaprocky,asaprocky,@ASAPROCKYUPTOWN,True,True,True,True
Richy Mitch And The Coal Miners,rmcmband,rmcmband,@rmcmband,True,True,True,True
Drew Baldridge,drewbaldridgemusic,drewbaldridgemusic,@DrewBaldridgeMusic,True,True,True,True
Gigi Perez,gigi4perez,gigi4perez,@gigi4perez,True,True,True,True
Chase Matthew,iamchasematthew,iamchasematthew,@iamChaseMatthew,True,True,True,True
Tito Double P,titodoublep,titodoublep,@TitoDoubleP,True,True,True,True
Addison Rae,addisonraee,addisonre,@AddisonRae,True,True,True,True
Surf Curse,surfcurse,surfcurseofficial,@surfcurse,True,True,True,True
Playboi Carti,playboicarti,playboicarti,@playboicarti,True,True,True,True
Zach Top,zachtop,zachtop,@zachtop,True,True,True,True
Alex Warren,alexwarren,alexwarren,@AlexWarren,True,True,True,True
The Marias,themarias,themarias,@TheMarias,True,True,True,True
Odetari,odetari,odetari,@odetari,True,True,True,True
KSI,ksi,ksi,@KSI,True,True,True,True
JENNIE,jennierubyjane,jennierubyjane,@jennierubyjane,True,True,True,True
ROSE,roses_are_rosie,roses_are_rosie,@roses_are_rosie,True,True,True,True
Oscar Maydon,oscar_maydonn,oscar_maydonnn,@Oscar_Maydon,True,True,True,True
Brandon Lake,brandonlake,brandonlakemusic,@brandonlakeofficial,True,True,True,True
Loe Shimmy,loeshimmy,loeshimmy,@loeshimmy,True,True,True,True
Brooks & Dunn,brooksanddunn,brooksanddunn,@BrooksandDunn,True,True,True,True
Cynthia Erivo,cynthiaerivo,cynthiaerivo,@CynthiaErivo,True,True,True,True
Jonathan Bailey,jbayleaf,,,True,False,False,True
Stromae,stromae,stromae,@stromae,True,True,True,True
Laufey,laufey,laufey,@laufey,True,True,True,True
Lola Young,lolayounggg,lolayounggg,@LolaYounggg,True,True,True,True
Sam Barber,sambarber_music,sambarber_music,@sambarber9852,True,True,True,True
Michael Buble,michaelbuble,michaelbuble,@michaelbuble,True,True,True,True
Darlene Love,darlenelovesings,,@DarleneLove,True,False,True,True
Gwen Stefani,gwenstefani,gwenstefani,@gwenstefani,True,True,True,True
Kesha,kesha,kesha,@kesha,True,True,True,True
Neton Vega,net0n__,net0n__,@NetonVega,True,True,True,True
Dylan Marlowe,dylanmarlowemusic,dylanmarlowemusic,@dylanmarlowemusic,True,True,True,True
Ty Myers,tywmyers,tymyers,@tywmyers,True,True,True,True
Gelo,gelo,gelo,@GeloMusicOfficial,True,True,True,True
CHRYSTAL,chrystal.archives,chrystal.archives,@chrystal_,True,True,True,True
Imogen Heap,imogenheap,imogenheap,@imogenheap,True,True,True,True
Leon Thomas,leonthomas,leonthomas,@leonthomasmusic,True,True,True,True
Giveon,giveon,giveon,@Giveon,True,True,True,True
PARTYNEXTDOOR,partynextdoor,partynextdoor,@PARTYOMO,True,True,True,True
Pimmie,ayopimmie,ayopimmie,@ayopimmie,True,True,True,True
Bhad Bhabie,bhadbhabie,bhadbhabie,@bhadbhabie,True,True,True,True
Aleman,mxalemanmx,mxalemanmx,,True,True,False,True
Sleep Token,sleep_token,sleep_token,@Sleep-Token,True,True,True,True
John Morgan,johnmorgan95,johnmorganmusic,@JohnMorgan95,True,True,True,True
Ravyn Lenae,ravynlenae,ravynlenae,@RavynLenae,True,True,True,True
sombr,sombr,sombr,@somb.r,True,True,True,True
LOCASH,locash,locashmusic,@LOCASH,True,True,True,True
Malcolm Todd,malcolmtodd,malcolmtodddd,@malcolm_todd,True,True,True,True
Eric Church,ericchurchmusic,ericchurch,@ericchurch,True,True,True,True
Forrest Frank,hiforrest,hiforrestt,@hiforrest,True,True,True,True
PLUTO,plutonotdabratt,plutonotdaabraat,@plutonotthebratt,True,True,True,True
Hudson Westbrook,hudsonwestbrook,hudsonwestbrookmusic,@hudsonwestbrook,True,True,True,True
Lorde,lorde,lorde,@Lorde,True,True,True,True
Chuckyy,chuckywackemm,chuckywackem,@chuckywackem,True,True,True,True
Mariah the Scientist,mariahthescientist,mariahthescientist,@mariahthescientistofficial,True,True,True,True
Maroon 5,maroon5,maroon5,@Maroon5,True,True,True,True
KATSEYE,katseyeworld,katseyeworld,@katseyeworld,True,True,True,True
wifiskeleton,wifiskeleton,_wifiskeleton,,True,True,False,True
MOLIY,moliymusic,moliymusic,@MOLIY,True,True,True,True
Max McNown,maxmcnown,maxmcnown,@maxmcnown,True,True,True,True
Mariah Carey,mariahcarey,mariahcarey,@MariahCarey,True,True,True,True
ATEEZ,ateez_official_,ateez_official_,@ATEEZofficial,True,True,True,True
Josh Ross,joshrossmusic,joshrossmusic,@musicjoshross,True,True,True,True
Saja Boys,saja_wolfpack,,,True,False,False,True
HUNTR/X,,,,False,False,False,False
Rumi,,,,False,False,False,False
BabyChiefDoit,babychiefdoit,babychiefdoit,@BabyChiefDoitt,True,True,True,True
G Herbo,nolimitherbo,gherbo,@gherbo,True,True,True,True
JEONGYEON,jy_piece,,,True,False,False,True
Disco Lines,discolines,discolines,@discolines,True,True,True,True
Clipse,clipse,clipse,@Clipse,True,True,True,True
Ozzy Osbourne,ozzyosbourne,,@ozzyosbourne,True,False,True,True
Dareyes de La Sierra,dareydls,dareydls,@DareyesDeLaSierra,True,True,True,True
Pierce the Veil,piercetheveil,piercetheveil,@piercetheveil,True,True,True,True
