song_id,title,artist,genres,song_length,release_date,entry_week_date,entry_week_pos,peak_pos,lifespan,yt_subs_release_date,yt_views_release_date,tt_followers_release_date,tt_uploads_release_date,tt_likes_release_date,ig_followers_release_date,ig_media_release_date,ig_media_cgr_4w,ig_followers_cgr_4w,tt_followers_cgr_4w,tt_uploads_cgr_4w,tt_likes_cgr_4w,yt_subs_cgr_4w,yt_views_cgr_4w,ig_handle,tt_handle,yt_handle,has_ig,has_tt,has_yt,has_social_media
Holiday Road — Kesha,Holiday Road,Kesha,[],,,2025-01-04,88,88,1,,,,,,,,,,,,,,,kesha,kesha,@kesha,True,True,True,True
Rockstar — LISA,Rockstar,LISA,"['Pop', 'K-Pop']",2.30355,2024-06-27,2024-07-13,70,70,1,11700000.0,596014886.0,,,,,,,,,,,0.0,0.01814861654121369,lalalalisa_m,lalalalisa_m,@lalalalisa_m,True,True,True,True
"Henry, Come On — Lana Del Rey","Henry, Come On",Lana Del Rey,['Alternative'],5.1878166666666665,2025-04-11,2025-04-26,90,90,1,17100000.0,9509556646.0,5800000.0,2.0,2700000.0,,,,,0.06213266117438554,-1.4376552804949871,0.1348777640018506,0.04202611985597571,0.03669459324011637,honeymoon,lanadelrey,@LanaDelRey,True,True,True,True
Rocking A Cardigan In Atlanta — Lil Shordie Scott,Rocking A Cardigan In Atlanta,Lil Shordie Scott,"['Hip-Hop/Rap', 'Rap']",1.6137666666666666,2022-01-29,2022-03-12,100,77,3,,,,,,,,,,,,,,,shordiescott,,@lilshordiescott,True,False,True,True
Just Wanna Rock — Lil Uzi Vert,Just Wanna Rock,Lil Uzi Vert,"['House', 'Dance', 'Electronic', 'Bass']",1.59475,2023-07-21,2022-10-29,86,10,32,9400000.0,4636711142.0,2300000.0,18.0,20000000.0,,,,,0.0,0.20434569410434644,0.1458991669970544,0.04589675247299585,0.07212007526773423,liluzivert,liluzivert,@LILUZIVERT,True,True,True,True
Welcome To Tha Carter — Lil Wayne,Welcome To Tha Carter,Lil Wayne,[],,,2025-06-21,62,62,1,,,,,,,,,,,,,,,liltunechi,lilwayne,@lilwayne,True,True,True,True
Ribs — Lorde,Ribs,Lorde,['Alternative'],4.31615,2013-09-27,2025-05-10,99,99,2,,,,,,,,,,,,,,,lorde,lorde,@Lorde,True,True,True,True
But I Got A Beer In My Hand — Luke Bryan,But I Got A Beer In My Hand,Luke Bryan,[],,,2023-08-05,92,91,8,,,,,,,,,,,,,,,lukebryan,lukebryan,@lukebryan,True,True,True,True
Heart To Heart — Mac DeMarco,Heart To Heart,Mac DeMarco,['Alternative'],3.519,2019-05-10,2023-01-28,98,83,4,,,,,,,,,,,,,,,macsrecordlabel,,@macdemarco,True,False,True,True
Cliche — mgk,Cliche,Machine Gun Kelly,"['Singer/Songwriter', 'Contemporary Singer/Songwriter', 'Rock', 'Adult Alternative']",6.247116666666667,2012-09-07,2025-06-07,62,62,4,,,,,,,,,,,,,,,machinegunkelly,mgk,@mgk,True,True,True,True
Run Rudolph Run — Mark Ambor,Run Rudolph Run,Mark Ambor,[],,,2025-01-04,78,78,1,,,,,,,,,,,,,,,markambor,markambor,@markambor,True,True,True,True
Master Of Puppets — Metallica,Master Of Puppets,Metallica,['Soundtrack'],8.574666666666667,1986-03-03,2022-07-16,40,35,3,,,,,,,,,,,,,,,metallica,metallica,@metallica,True,True,True,True
Holly Jolly Christmas — Michael Buble,Holly Jolly Christmas,Michael Buble,"['Holiday', 'Christmas']",2.02545,2011-10-14,2025-01-04,37,37,1,,,,,,,,,,,,,,,michaelbuble,michaelbuble,@michaelbuble,True,True,True,True
Scared To Start — Michael Marcagi,Scared To Start,Michael Marcagi,['Alternative'],2.6606,2024-01-12,2024-02-17,98,54,23,,,144100.0,29.0,1000000.0,,,,,3.1056801288202873,0.8312991682788207,3.716138563040583,,,michaelmarcagimusic,michaelmarcagimusic,@MichaelMarcagiMusic,True,True,True,True
My Love Mine All Mine — Mitski,My Love Mine All Mine,Mitski,['Alternative'],2.2962166666666666,2023-09-15,2023-10-07,76,26,20,1670000.0,536493174.0,726900.0,14.0,3900000.0,,,,,0.28139301386937987,2.018734106340414,0.49120648830105473,0.06476162054718237,0.08693336685585695,mitskileaks,mitskileaks,@mitskileaks,True,True,True,True
Dark Til Daylight — Morgan Wallen,Dark Til Daylight,Morgan Wallen,[],,,2025-05-31,50,49,8,,,,,,,,,,,,,,,morganwallen,morganwallen,@morganwallen,True,True,True,True
Loco — Neton Vega,Loco,Neton Vega,"['Urbano latino', 'Latin']",3.1087,2024-12-20,2025-01-11,50,43,20,143000.0,84730925.0,,,,,,,,,,,0.48162357063368244,0.7645972919360089,net0n__,net0n__,@NetonVega,True,True,True,True
Something In The Way — Nirvana,Something In The Way,Nirvana,"['Alternative', 'Grunge', 'Rock', 'Adult Alternative', 'College Rock']",3.8697166666666667,1991-09-24,2022-03-26,46,46,1,,,,,,,,,,,,,,,,,@nirvana,False,False,True,True
Aint Gotta Dollar — Oliver Anthony Music,Aint Gotta Dollar,Oliver Anthony Music,"['Country', 'Folk']",2.0768,2022-09-10,2023-08-26,82,82,2,,,,,,,,,,,,,,,oliver_anthony_music_,oliveranthonymusic,@oliveranthonymusic,True,True,True,True
Crazy Train — Ozzy Osbourne,Crazy Train,Ozzy Osbourne,"['Metal', 'Rock', 'Hair Metal', 'Hard Rock', 'Arena Rock']",4.8785,1980-09-20,2025-08-02,46,39,2,,,,,,,,,,,,,,,ozzyosbourne,,@ozzyosbourne,True,False,True,True
Evergreen — Richy Mitch And The Coal Miners,Evergreen,Richy Mitch And The Coal Miners,['Singer/Songwriter'],1.45,2017-05-17,2024-08-24,83,83,2,,,,,,,,,,,,,,,rmcmband,rmcmband,@rmcmband,True,True,True,True
Home Sweet — Russell Dickerson,Home Sweet,Russell Dickerson,['Country'],3.43245,2020-06-26,2022-01-15,90,88,7,,,,,,,,,,,,,,,russelldickerson,russelldickersonofficial,@RussellDTV,True,True,True,True
I'm Just Ken — Ryan Gosling,I'm Just Ken,Ryan Gosling,"['Pop', 'Soundtrack']",3.710566666666667,2023-07-20,2023-08-05,87,87,3,,,,,,,,,,,,,,,,,,False,False,False,False
Equal Dirt — Rylo Rodriguez,Equal Dirt,Rylo Rodriguez,['Hip-Hop/Rap'],3.023833333333333,2023-06-30,2023-08-05,100,100,1,489000.0,371523807.0,,,,,,,,,,,0.11888168325744353,0.09140829292373365,rylorodriguez,rylorodriguez,@rylorodriguez676,True,True,True,True
Love Me 4 Me — SZA,Love Me 4 Me,SZA,[],,,2025-01-04,79,79,1,,,,,,,,,,,,,,,sza,sza,@sza,True,True,True,True
Soda Pop — Saja Boys,Soda Pop,Saja Boys,"['K-Pop', 'Pop']",2.511433333333333,2025-06-19,2025-07-12,49,49,1,,,,,,,,,,,,,,,saja_wolfpack,,,True,False,False,True
I'm Not Here To Make Friends — Sam Smith,I'm Not Here To Make Friends,Sam Smith,[],,,2023-02-11,71,71,2,,,,,,,,,,,,,,,samsmith,samsmith,@samsmith,True,True,True,True
Why Why Why — Shawn Mendes,Why Why Why,Shawn Mendes,[],,,2024-08-24,84,84,1,,,,,,,,,,,,,,,shawnmendes,shawnmendes,@shawnmendes,True,True,True,True
Snowman — Sia,Snowman,Sia,['Holiday'],2.765,2017-11-09,2025-01-04,43,43,1,,,,,,,,,,,,,,,siamusic,sia,@sia,True,True,True,True
Murder On The Dancefloor — Sophie Ellis-Bextor,Murder On The Dancefloor,Sophie Ellis-Bextor,['Pop'],3.8566666666666665,2001-08-27,2024-01-13,98,51,12,,,,,,,,,,,,,,,sophieellisbextor,sophieebtiktok,@sophieebofficial,True,True,True,True
Painting Pictures — Superstar Pride,Painting Pictures,Superstar Pride,['Hip-Hop/Rap'],2.097916666666667,2022-10-22,2023-02-25,99,25,15,,,,,,,,,,,,,,,superstarpride,superstarpride,@SuperstarPrideTV,True,True,True,True
Disco — Surf Curse,Disco,Surf Curse,['Alternative'],2.5460166666666666,2019-06-12,2024-09-21,91,91,1,,,,,,,,,,,,,,,surfcurse,surfcurseofficial,@surfcurse,True,True,True,True
Now And Then — The Beatles,Now And Then,The Beatles,['Rock'],4.138883333333333,2010-11-16,2023-11-18,7,7,2,,,,,,,,,,,,,,,thebeatles,thebeatles,@TheBeatles,True,True,True,True
This Is Halloween — The Citizens of Halloween,This Is Halloween,The Citizens of Halloween,"['Soundtrack', 'Children’s Music']",3.276,1993-01-01,2023-11-11,41,38,2,,,,,,,,,,,,,,,,,,False,False,False,False
Back To Me — The Marias,Back To Me,The Marias,[],,,2025-04-19,86,86,1,,,,,,,,,,,,,,,themarias,themarias,@TheMarias,True,True,True,True
I Love You So — The Walters,I Love You So,The Walters,['Alternative'],2.6706666666666665,2014-11-28,2022-01-15,97,71,16,,,,,,,,,,,,,,,thewalters_,thewaltersband,@TheWaltersBand,True,True,True,True
In Your Love — Tyler Childers,In Your Love,Tyler Childers,['Country'],3.7637833333333335,2023-07-18,2023-08-12,43,43,10,604000.0,538854510.0,,,,,,,,,,,0.05363149222044061,0.09802375767600235,timmytychilders,timmytychildersmusic,@tylerchilders,True,True,True,True
Christmastime Is Here — Vince Guaraldi Trio,Christmastime Is Here,Vince Guaraldi Trio,['Holiday'],2.774,1965-12-09,2022-01-01,48,31,7,,,,,,,,,,,,,,,vinceguaraldimusic,vinceguaraldi,@VinceGuaraldiMusic,True,True,True,True
Soy El Unico — Yahritza y Su Esencia,Soy El Unico,Yahritza Y Su Esencia,"['Música Mexicana', 'Latin']",3.566666666666667,2022-03-25,2022-04-09,20,20,5,,,,,,,,,,,,,,,yahritzaysuesencia,yahritzaysuesencia,@YahritzaYSuEsencia,True,True,True,True
F**k The Industry Pt. 2 — YoungBoy Never Broke Again,F**k The Industry Pt. 2,YoungBoy Never Broke Again,[],,,2023-05-27,87,87,1,,,,,,,,,,,,,,,nba_youngboy,nbayoungboy,@NbaYoungBoy,True,True,True,True
Out In The Middle — Zac Brown Band,Out In The Middle,Zac Brown Band,[],,,2022-10-08,95,86,6,,,,,,,,,,,,,,,zacbrownband,zacbrownband,@zacbrownband,True,True,True,True
Boons — Zach Bryan,Boons,Zach Bryan,['Country'],3.0862166666666666,2024-07-04,2024-07-20,74,74,1,1170000.0,1218849496.0,2900000.0,153.0,25000000.0,,,,,,,,0.12431333392395327,0.18641828775616265,zachlanebryan,zachlanebryan,@zachbryan1067,True,True,True,True
