,song_id,main_artist,main_artist_ig,main_artist_yt,main_artist_tt
62,Never Say Never — Cole Swindell / Lainey Wilson,Cole Swindell,coleswindell,@ColeSwindell,coleswindellofficial
63,Fish Scale — YoungBoy Never Broke Again,YoungBoy Never Broke Again,nba_youngboy,@NbaYoungBoy,nbayoungboy
64,Trouble With A Heartbreak — Jason Aldean,Jason Aldean,jasonaldean,@JasonAldean,jasonaldeanmusic
65,Surround Sound — JID Featuring 21 Savage & Baby Tate,JID,jidsv,@jid6871,jidsv
66,"All Of You — Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast",Stephanie Beatriz,stephaniebeatriz,,stephaniebeatriz
67,Light Switch — Charlie Puth,Charlie Puth,charlieputh,@charlieputh,charlieputh
68,No Switch — YoungBoy Never Broke Again,YoungBoy Never Broke Again,nba_youngboy,@NbaYoungBoy,nbayoungboy
69,Bring It On — YoungBoy Never Broke Again,YoungBoy Never Broke Again,nba_youngboy,@NbaYoungBoy,nbayoungboy
70,Flossin' — Internet Money Featuring YoungBoy Never Broke Again,Internet Money,internetmoneyrecords,@InternetMoneyRecords,internetmoney
71,Proud — Key Glock,Key Glock,keyglock,@Gli5ock,keyglockreal
72,Know Like I Know — YoungBoy Never Broke Again,YoungBoy Never Broke Again,nba_youngboy,@NbaYoungBoy,nbayoungboy
73,2Hoo — YoungBoy Never Broke Again,YoungBoy Never Broke Again,nba_youngboy,@NbaYoungBoy,nbayoungboy
74,Long Live — YoungBoy Never Broke Again,YoungBoy Never Broke Again,nba_youngboy,@NbaYoungBoy,nbayoungboy
75,Dis & That — YoungBoy Never Broke Again,YoungBoy Never Broke Again,nba_youngboy,@NbaYoungBoy,nbayoungboy
76,Beautiful Lies — Yung Bleu & Kehlani,Yung Bleu,bleuvandross,@bleuvandross,yungbleuvandross
77,Smoke One — YoungBoy Never Broke Again,YoungBoy Never Broke Again,nba_youngboy,@NbaYoungBoy,nbayoungboy
78,Rumors — Gucci Mane Featuring Lil Durk,Gucci Mane,laflare1017,@guccimane,icedaddy1017
79,High — The Chainsmokers,The Chainsmokers,thechainsmokers,@THECHAINSMOKERS,thechainsmokers
80,Johnny P's Caddy — Benny The Butcher & J. Cole,Benny The Butcher,getbenny,@bennythebutcher9863,bennythebutcher
81,Peru — Fireboy DML & Ed Sheeran,Fireboy DML,fireboydml,@fireboydml,fireboydml
82,If I Was A Cowboy — Miranda Lambert,Miranda Lambert,mirandalambert,@mirandalambert,mirandalambert
83,Shotta Flow 6 — NLE Choppa,NLE Choppa,thegreatnle,@NLECHOPPA,nlethegreat1
84,Vice City — XXXTENTACION,XXXTENTACION,xxxtentacion,@xxxtentacion,
85,Numb Little Bug — Em Beihold,Em Beihold,embeihold,@EmBeihold,embeihold
86,Infinity — Jaymes Young,Jaymes Young,jaymesyng,@JaymesYoung,jaymesyoungofficial
87,The Motto — Tiesto & Ava Max,Tiesto,tiesto,@tiesto,tiesto
88,Megan's Piano — Megan Thee Stallion,Megan Thee Stallion,theestallion,@megantheestallion,theestallion
89,"Colombia, Mi Encanto — Carlos Vives",Carlos Vives,carlosvives,@carlosvives,carlosvives
90,Do We Have A Problem? — Nicki Minaj X Lil Baby,Nicki Minaj,nickiminaj,@nickiminaj,nickiminaj
91,Don't Play That — King Von & 21 Savage,King Von,kingvonfrmdao,@kingvon8062,kingvonfrmdao1
92,Cigarettes — Juice WRLD,Juice WRLD,juicewrld999,@JuiceWRLD,juicewrld999
93,She's All I Wanna Be — Tate McRae,Tate McRae,tatemcrae,@TateMcRae,tatemcrae
94,Scared Money — YG Featuring J. Cole & Moneybagg Yo,YG,yg,@YG-vj2kq,yg
95,Emo Girl — Machine Gun Kelly & WILLOW,Machine Gun Kelly,machinegunkelly,@mgk,mgk
96,Black Summer — Red Hot Chili Peppers,Red Hot Chili Peppers,chilipeppers,@RedHotChiliPeppers,chilipeppers
97,Doja — $NOT & A$AP Rocky,$NOT,snot,@SNOT999,snot
98,Hate Our Love — Queen Naija & Big Sean,Queen Naija,queennaija,@QueenNaija,queennaija
99,When I'm Gone — Alesso / Katy Perry,Alesso,alesso,@alesso,alesso
100,MAMIII — Becky G X Karol G,Becky G,iambeckyg,@beckyg,iambeckyg
101,Bussin — Nicki Minaj X Lil Baby,Nicki Minaj,nickiminaj,@nickiminaj,nickiminaj
102,The Joker And The Queen — Ed Sheeran Featuring Taylor Swift,Ed Sheeran,teddysphotos,@EdSheeran,edsheeran
103,Worst Day — Future,Future,,@officialfuturevideos,plutoouttahere
104,"City Of Gods — Fivio Foreign, Kanye West & Alicia Keys",Fivio Foreign,fivioforeign_8fs,@fivioforeign,fivioforeign
105,Boyfriend — Dove Cameron,Dove Cameron,dovecameron,@dove_cameron,dovecameron
106,Good Morning Gorgeous — Mary J. Blige,Mary J. Blige,therealmaryjblige,@maryjbligemusic,maryjblige
107,Closer — Saweetie Featuring H.E.R.,Saweetie,saweetie,@OfficialSaweetieMusic,saweetie
108,Stay Alive — Jung Kook,Jung Kook,mnijungkook,,jungkook
